ID,time,text,retweets,favorites
1337468471483969537,Fri Dec 11 18:45:07 +0000 2020,"The Memphis Grizzlies are waiving forward Mario Hezonja, sources tell @TheAthleticNBA @Stadium. Multiple teams are expected to express interest after training camp ends.",369,4612
1337257400009682945,Fri Dec 11 04:46:23 +0000 2020,"The NBA is planning to administer daily point-of-care, rapid testing system for its teams during 2020-21 season, sources tell me and @fredkatz. Results expected in approximately 30 minutes in home market; 90 minutes on the road.",271,2637
1337185638890823681,Fri Dec 11 00:01:14 +0000 2020,"Kyrie Irving and the Nets have been fined $25,000 by the NBA for violating league rules governing media access.",791,13334
1337079967058960386,Thu Dec 10 17:01:20 +0000 2020,"8 new NBA players have tested positive for coronavirus out of 541 tested in latest round since Dec. 2, sources tell @TheAthleticNBA @Stadium.",402,3702
1336780023752237056,Wed Dec 09 21:09:28 +0000 2020,"Rockets star James Harden will need to register six negative coronavirus tests before returning to group workouts according to NBA protocols, source tells @TheAthleticNBA @Stadium. Harden returned to Houston for testing this week after being out of town.",647,7418
1336774715940200449,Wed Dec 09 20:48:23 +0000 2020,"Free agent guard Shaq Harrison is finalizing a deal with the Utah Jazz, sources tell me and @Tjonesonthenba.",207,2942
1335658175383687168,Sun Dec 06 18:51:38 +0000 2020,The Portland Trail Blazers are closing their practice facility today for deep cleaning after three positive coronavirus tests within organization.,432,5462
1335624253627129856,Sun Dec 06 16:36:51 +0000 2020,Naismith Basketball Hall of Famer Rudy Tomjanovich is joining the Minnesota Timberwolves as a player personnel consultant.,223,3907
1335295758371876865,Sat Dec 05 18:51:32 +0000 2020,NBA teams’ traveling parties are allowed only up to two guests in hotel rooms: Family members or longtime close personal friends who reside in the city. Traveling parties are strongly discouraged from interactions with those not associated with the team.,185,2417
1335291064626933762,Sat Dec 05 18:32:52 +0000 2020,"When confirmed that a coronavirus vaccine is safe and effective, the NBA and NBPA will discuss players, coaches and staff being required to receive the vaccine, or additional health and safety-focused restrictions on individuals who elect not to receive it.",350,5362
1335011188531486725,Sat Dec 05 00:00:45 +0000 2020,Free agent Quinn Cook has re-signed with the Los Angeles Lakers.,1854,26525
1334952591172788228,Fri Dec 04 20:07:54 +0000 2020,"Notable NBA season matchups:

Bucks-Lakers in Milwaukee on Jan. 21
Lakers-Nets in LA on Feb. 18
Lakers-Heat in LA on Feb. 20
Nets-Clippers in LA on Feb. 21",515,5095
1334950347903819776,Fri Dec 04 19:58:59 +0000 2020,"Sources: NBA’s Jan. 18 Martin Luther King Jr. Day schedule on TNT: Suns-Grizzlies in Memphis
Bucks-Nets in Brooklyn
Lakers-Warriors in LA

10-game schedule on MLK Day.",751,6846
1334932625958514691,Fri Dec 04 18:48:34 +0000 2020,"Kevin Durant and the Brooklyn Nets will visit the Golden State Warriors on Feb. 13 in a primetime Saturday night game, marking Durant’s return to the Bay, sources tell me and @anthonyVslater.",817,9955
1334590962820132864,Thu Dec 03 20:10:55 +0000 2020,"The NBA is targeting March 25 for its 2020-21 season trade deadline, pending Board approval, sources tell @TheAthleticNBA @Stadium. The All-Star break is scheduled for March 5-10.",602,5315
1334307601841070080,Thu Dec 03 01:24:57 +0000 2020,"Sources: Protection on the first-round pick that the Wizards traded to Houston in Russell Westbrook/John Wall trade: 2023, Lottery; 2024, Top 12; 2025, Top 10; 2026, Top 8; then becomes two second-rounders.",747,6629
1334300808737906689,Thu Dec 03 00:57:57 +0000 2020,Source confirms: Houston traded Russell Westbrook to the Wizards for John Wall and a 2023 protected first-round pick.,3693,30684
1334270996803620866,Wed Dec 02 22:59:29 +0000 2020,"48 NBA players have tested positive for coronavirus out of 546 tested during initial testing phase from Nov. 24-30, sources tell @TheAthleticNBA @Stadium.",1670,10899
1334230679027134476,Wed Dec 02 20:19:17 +0000 2020,"NBA schedule dates:

Dec. 22: Nets-Warriors, Lakers-Clippers
Dec. 23: Celtics-Bucks, Mavericks-Suns
Dec. 25: Pelicans-Heat, Warriors-Bucks, Nets-Celtics, Mavericks-Lakers, Clippers-Nuggets",1131,9188
1334227831639957507,Wed Dec 02 20:07:58 +0000 2020,"LiAngelo Ball is signing a one-year, non-guaranteed contract with the Detroit Pistons, sources tell @TheAthleticNBA @Stadium.",8500,58816
1334192064578334720,Wed Dec 02 17:45:50 +0000 2020,"Los Angeles Lakers star LeBron James has agreed to a two-year, $85 million maximum contract extension with the franchise, CEO of Klutch Sports, Rich Paul, told @TheAthleticNBA @Stadium.",7669,43857
1334175926544977921,Wed Dec 02 16:41:43 +0000 2020,"The NBA’s tentative Dec. 22 opening night doubleheader on TNT: Nets vs. Warriors in Brooklyn and Lakers vs. Clippers in Los Angeles, sources tell @TheAthleticNBA @Stadium.",2500,16821
1333978618935054336,Wed Dec 02 03:37:41 +0000 2020,"Nicolas Batum has signed his contract with the Los Angeles Clippers, sources tell @TheAthleticNBA @Stadium.",418,5183
1333879340006830089,Tue Dec 01 21:03:11 +0000 2020,"Formality: The Dallas Mavericks have exercised All-Star Luka Doncic's fourth-year team option ($10.1M) for the 2021-22 season, sources tell @TheAthleticNBA @Stadium. Doncic finished fourth in the MVP race last season.",560,10524
1333756748201680898,Tue Dec 01 12:56:03 +0000 2020,"Celtics guard Kemba Walker’s game availability will be updated in first week of January. He is expected to resume on-court activities early this month, after receiving a stem cell injection in his left knee and a strengthening program to prepare for the upcoming season.",416,5401
1333596307206844416,Tue Dec 01 02:18:31 +0000 2020,"Houston Rockets No. 52 pick KJ Martin is signing a multiyear rookie deal, sources tell @TheAthleticNBA @Stadium. The Rockets acquired Martin, the son of Kenyon Martin, in a draft night trade.",294,4197
1333548359374737415,Mon Nov 30 23:07:59 +0000 2020,"After 14 NBA seasons, Andrew Bogut — a 2015 NBA champion — announces he is retiring from basketball. Bogut played for the Bucks, Warriors, Mavericks, Cavaliers and Lakers and spent last two years in Sydney.",863,14103
1333531548885413895,Mon Nov 30 22:01:11 +0000 2020,"The Detroit Pistons have waived guard Zhaire Smith, sources tell @TheAthleticNBA @Stadium.",407,5269
1333457905765519363,Mon Nov 30 17:08:33 +0000 2020,"10-year NBA veteran Evan Turner is finalizing a deal to join the Boston Celtics as an assistant coach, sources tell @TheAthleticNBA @Stadium. Turner is expected to focus on player development.",1672,18120
1333428675564498944,Mon Nov 30 15:12:24 +0000 2020,Golden State Warriors two-time MVP Stephen Curry and Under Armour have launched his own division: Curry Brand. New shoes release on Dec. 11.,1210,18306
1333148058322923520,Sun Nov 29 20:37:20 +0000 2020,Boston has signed and traded Gordon Hayward and two future second-round picks to Charlotte for a conditional future second-round pick. Celtics also receive a trade exception.,950,9428
1333134193308676097,Sun Nov 29 19:42:14 +0000 2020,"Nicolas Batum plans to sign with the Los Angeles Clippers after he clears waivers, sources tell @TheAthleticNBA @Stadium.",1209,8563
1333126819369906176,Sun Nov 29 19:12:56 +0000 2020,"The Charlotte Hornets are waiving forward Nicolas Batum, sources tell @TheAthleticNBA @Stadium.",827,8721
1332728765173129216,Sat Nov 28 16:51:13 +0000 2020,"The NBA will establish an anonymous hotline to report potential violations of safety protocols during in-market play in 2020-21 season, sources tell @TheAthleticNBA @Stadium. There was also a hotline for the Orlando restart.",414,5961
1332433648004571143,Fri Nov 27 21:18:31 +0000 2020,"NBA Preseason begins on Dec. 11, running through Dec. 19:

Lakers-Clippers
New York-Detroit
Orlando-Atlanta
Houston-Chicago
Sacramento-Portland",1197,12685
1332362780704452611,Fri Nov 27 16:36:55 +0000 2020,"The Golden State Warriors are signing No. 48 overall pick Nico Mannion on a two-way contract, sources tell @TheAthleticNBA @Stadium.",452,9629
1332343990134448136,Fri Nov 27 15:22:15 +0000 2020,"Guard JJ Barea is signing a guaranteed one-year, $2.6M deal to return to the Dallas Mavericks, sources tell @TheAthleticNBA @Stadium.",504,8138
1332045547314827264,Thu Nov 26 19:36:21 +0000 2020,Kostas Antetokounmpo has signed a two-way contract to return to the Los Angeles Lakers.,1146,23878
1332036013422731266,Thu Nov 26 18:58:28 +0000 2020,"Free agent DaQuan Jeffries has agreed to a two-year, $3M deal to return to the Sacramento Kings, agents Erik Kabe and Bill Duffy of BDA Sports tell @TheAthleticNBA @Stadium.",232,2534
1331829573902856194,Thu Nov 26 05:18:09 +0000 2020,"The Los Angeles Lakers application to exclude Luol Deng’s salary from team salary books has been denied by the NBA, sources tell @TheAthleticNBA @Stadium. Deng is owed salary through 2022.",973,13799
1331819455849050113,Thu Nov 26 04:37:56 +0000 2020,"The Golden State Warriors have been granted a Disabled Player Exception worth $9.3 million due to the season-ending loss of Klay Thompson, sources tell 
@TheAthleticNBA @Stadium. It expires on April 19.",639,8677
1331680271956111367,Wed Nov 25 19:24:52 +0000 2020,"Former Warriors guard Ky Bowman has agreed to a deal with the Los Angeles Clippers, sources tell @TheAthleticNBA @Stadium. Bowman will compete for a roster spot in training camp.",383,5318
1331659462764060672,Wed Nov 25 18:02:11 +0000 2020,The NBA has postponed the 2021 All-Star weekend in Indianapolis to be held Feb. 2024.,843,10840
1331308570403594243,Tue Nov 24 18:47:52 +0000 2020,"The Miami Heat plan to sign All-Star Bam Adebayo to a five-year, $163M contract extension, source tells @TheAthleticNBA @Stadium.",2486,21651
1331273778458992640,Tue Nov 24 16:29:37 +0000 2020,"Denver’s Bol Bol has agreed to a new two-year, $4.2M deal with the Nuggets, his agents Andrew Morrison and Sam Rose of CAA Sports tell @TheAthleticNBA @Stadium.",703,11409
1331269041374236672,Tue Nov 24 16:10:47 +0000 2020,"Marc Gasol has signed his two-year, $5.3M deal with the Lakers, source tells @TheAthleticNBA @Stadium. No team or player option in second season.",1391,14722
1331016687659970567,Mon Nov 23 23:28:02 +0000 2020,"Former Pistons guard Jordan Bone has agreed to a two-way contract with the Orlando Magic, source tells @TheAthleticNBA @Stadium.",253,3121
1331005360077987844,Mon Nov 23 22:43:01 +0000 2020,"Free agent DeMarcus Cousins and the Houston Rockets are nearing a deal, sources tell @TheAthleticNBA @Stadium.",2987,23100
