ID,time,text,retweets,favorites
1337523384750661634,Fri Dec 11 22:23:19 +0000 2020,"Free agent G Tyler Hall agreed to a non-guaranteed deal with the Knicks, source tells ESPN. He'll return to play another season with Westchester of the G-League.",194,3049
1337175762307338243,Thu Dec 10 23:21:59 +0000 2020,"Former Chicago Bulls GM Gar Forman is joining the New Orleans Pelicans front office as a special advisor, sources tell ESPN. Forman will focus in the scouting area for David Griffin and Trajan Langdon.",355,6107
1337098777807745028,Thu Dec 10 18:16:05 +0000 2020,"All-Star forward Paul George has signed a maximum contract extension with the Los Angeles Clippers that’ll guarantee him as much as $226 million over the next five years, his agent Aaron Mintz of @CAA_Basketball tells ESPN.",3322,28893
1336767845640892421,Wed Dec 09 20:21:05 +0000 2020,"Atlanta Hawks All-Star guard @TheTraeYoung is getting a signature shoe and apparel series with Adidas that launches in the fall of 2021, he tells @Rachel__Nichols on The Jump.",1029,16027
1336470460821856259,Wed Dec 09 00:39:22 +0000 2020,"NBA coaches are no longer required to wear a sports coats during games, sources tell @ZachLowe_NBA and me. Coaches must wear business attire (no track pants during games). Coaches must wear facemasks during games, sources said.",779,10725
1336416898347622408,Tue Dec 08 21:06:32 +0000 2020,"Andrew White has agreed to an Exhibit 10 deal with the Knicks, source tells ESPN.",205,4250
1336387837839749124,Tue Dec 08 19:11:04 +0000 2020,"James Harden has arrived in Houston and tested in accordance with the NBA's protocol today, league source tells ESPN.",1772,21387
1336114210296762370,Tue Dec 08 01:03:46 +0000 2020,"Denver Nuggets G Monte Morris has agreed to a three-year, $27M extension, his agent Ron Shade tells ESPN.",990,14451
1335288123790684165,Sat Dec 05 18:21:11 +0000 2020,"The NBA will also provide twice-a-week testing for household members of players and staff, memo says. League is encouraging that to ""enhance their protection throughout the season.""",399,5541
1335286403433984002,Sat Dec 05 18:14:21 +0000 2020,"At home, players and staff are not allowed to enter: Bars/lounges/clubs; live entertainment/gaming venues (with limited exceptions), public gyms/spas/pool areas, or large indoor social gatherings (15 or more people), NBA tells teams in expanded Health and Safety Guide.",698,7090
1335285429394923524,Sat Dec 05 18:10:29 +0000 2020,"NBA shared an additional Health and Safety guide w/ teams -- this time, 158 pages -- allowing for team/player dining at ""approved restaurants"" on trips, outdoor dining, or indoor restaurant in ""fully privatized space,"" according to document obtained by ESPN. Details, details.",307,2833
1334641456422719488,Thu Dec 03 23:31:34 +0000 2020,Sources: NBA’s Competition Committee registered strong support today for increasing league’s active player list for games from 13 to 15. Board of Governors must give final approval to a move that makes sense given shortened season and concerns over Covid impact on rosters.,533,7773
1334477520939474945,Thu Dec 03 12:40:09 +0000 2020,"All-NBA forward Anthony Davis is finalizing a five-year, $190M maximum contract to stay with the Los Angeles Lakers, @KlutchSports CEO Rich Paul tells ESPN. The deal includes an early termination option prior to fifth season in 2024-2025. Deal could be signed as soon as today.",10190,62310
1334300248743813125,Thu Dec 03 00:55:44 +0000 2020,"Houston has agreed to trade Russell Westbrook to Washington for John Wall and a first-round pick, sources tell ESPN.",35606,187085
1333960932989472768,Wed Dec 02 02:27:24 +0000 2020,"Clippers are waiving center Joakim Noah -- and his agent, Bill Duffy of @BDA_Sports, tells ESPN that Noah is “likely headed toward retirement.” One of his era’s most ferocious competitors, Noah played 13 seasons, made two All-Star games and was a 3-time All-Defensive team choice.",1183,14514
1333936089141293061,Wed Dec 02 00:48:41 +0000 2020,"Free agent guard Reggie Jackson is returning to the Los Angeles Clippers on a one-year deal, sources tell ESPN. Jackson is expected to play a prominent role in the Clippers backcourt rotation.",642,8521
1333810031746277378,Tue Dec 01 16:27:47 +0000 2020,"Guard R.J. Hampton -- the 24th pick in the 2020 NBA Draft -- has signed his rookie deal with the Denver Nuggets, agent @DanielWFrank of Lift Sports Management tells ESPN. Hampton completed his buyout agreement with the New Zealand Breakers on Monday night, Frank said.",256,4817
1333794441652432906,Tue Dec 01 15:25:50 +0000 2020,"Lithuanian G/F Deividas Sirvydis has agreed to a three-year contract with the Detroit Pistons, agent Michael Tellem of @caa_sports and agent Marius Rutkauskas tell ESPN. Sirvydis was selected with the 37th overall pick in the 2019 NBA Draft.",236,2797
1333781912712867840,Tue Dec 01 14:36:03 +0000 2020,"Free agent C Ike Anigbogu has signed a deal with the New Orleans Pelicans, source tells ESPN. Anigbogu, 22, was an Indiana second-round pick in 2017.",314,4617
1333566246575611904,Tue Dec 01 00:19:04 +0000 2020,"LaMelo Ball — the No. 3 overall pick in the NBA Draft — has signed his rookie contract with the Charlotte Hornets, his agent Raymond Brothers of @RocNationSports tells ESPN.",727,12501
1333558277079265282,Mon Nov 30 23:47:24 +0000 2020,"Free agent G Jared Dudley has agreed to a 1-year, $2.6M deal to return to the Lakers, agent Mark Bartelstein of @PrioritySports tells me and @ZachLowe_NBA.",1716,23706
1332732814232612866,Sat Nov 28 17:07:18 +0000 2020,"Michigan State F Xavier Tillman Sr., -- the 35th pick in the draft -- is signing a four-year deal with the Memphis Grizzlies, sources tell ESPN. The Grizzlies moved up on draft night to secure Tillman Sr., in a trade.",476,7698
1332728335642800129,Sat Nov 28 16:49:30 +0000 2020,"Under ""Circumstances for Cancellation of 2020-2021 season,"" NBA says: Occurrence of independent cases (i.e, cases not spread among players or team staff) or a small or otherwise expected number of COVID-19 cases will not require a decision to suspend or cancel the 2020-21 season.",311,3734
1332722887774662658,Sat Nov 28 16:27:51 +0000 2020,"As NBA organizations begin daily coronavirus testing this weekend and prepare for start of training camps next week, teams were issued a 134-page ""Health and Safety Protocol Guide"" for the 2020-2021 season this morning, per sources. Now, the NBA tries this outside of a bubble.",518,7308
1332429527344156673,Fri Nov 27 21:02:09 +0000 2020,"San Antonio has signed the 41st pick in the draft – Duke guard Tre Jones – to a three-year deal, agent @KB_Sports of @BDA_Sports tells ESPN. A three-year deal allows Jones to enter restricted free agency sooner than the traditional four-year contract of second-round picks.",547,8523
1332409384736071681,Fri Nov 27 19:42:06 +0000 2020,"Jazz are sending G Rayjon Tucker and a future second-round pick to the Cavaliers for cash, sources tell ESPN.",303,4766
1332390345284456448,Fri Nov 27 18:26:27 +0000 2020,"Free agent F Alize Johnson has agreed to a deal with the Toronto Raptors, source tells ESPN. Johnson spent the past two seasons with the Pacers.",447,5757
1332075552920973316,Thu Nov 26 21:35:35 +0000 2020,"Free agent F/C Frank Kaminsky has agreed to a one-year deal with the Sacramento Kings, his agent @KB_Sports of BDA Sports tell ESPN.",564,8376
1332041979228794886,Thu Nov 26 19:22:10 +0000 2020,"Free agent G Zach Norvell has  agreed to a one-year deal with the Chicago Bulls, agents Reggie Brown and Andy Shiffman of @PrioritySports tell ESPN.",498,5656
1332028770614652928,Thu Nov 26 18:29:41 +0000 2020,"The 76ers agreed to a one-year deal with free agent G Derrick Walton Jr., sources tell ESPN.",596,11230
1332009987992924163,Thu Nov 26 17:15:03 +0000 2020,"Free agent G Kelan Martin has agreed to a two-year deal with the Indiana Pacers, agent Mike Lindeman of @excelsm_bball tells ESPN.",493,4646
1331980885114163202,Thu Nov 26 15:19:24 +0000 2020,"Free agent F Noah Vonleh has agreed to a one-year deal with the Chicago Bulls, agent Jim Tanner of @_tandemse and @YouFirstSports tells ESPN.",492,7175
1331731440225177600,Wed Nov 25 22:48:12 +0000 2020,"Free agent center Hassan Whiteside has agreed to a one-year deal with the Sacramento Kings, sources tell ESPN.",1939,28595
1331720858839166977,Wed Nov 25 22:06:09 +0000 2020,"Golden State Warriors All-Star G Klay Thompson underwent surgery today to repair his torn Achilles, source tells ESPN. He is expected to make a full recovery.",2663,42383
1331659584155643905,Wed Nov 25 18:02:40 +0000 2020,"As expected, NBA postpones 2021 All-Star in Indianapolis. City will get game in 2024.",1065,15072
1331628971805564931,Wed Nov 25 16:01:02 +0000 2020,"Sources: Boston and Charlotte have worked on a sign-and-trade for Gordon Hayward that would land Celtics a trade exception, but Hornets have first been trying to find a third team for Nic Batum's $27M contract to see if there's a way to avoid waiving-and-stretching his money.",1348,15308
1331624405408092161,Wed Nov 25 15:42:53 +0000 2020,"Former Knicks interim coach Mike Miller is joining Oklahoma City coach Mark Daigneault's staff as an assistant, sources tell ESPN.",425,7160
1331418574628515840,Wed Nov 25 02:04:59 +0000 2020,"For Hawks GM Travis Schlenk, it was a wise gamble to overpay market value on Bogdanovic. That’s how you land players in restricted free agency. Now, Bogdan joins Danilo Gallinari as centerpieces of an ATL free agency class that's reshaped roster around All-Star guard Trae Young.",648,9778
1331417455969898496,Wed Nov 25 02:00:32 +0000 2020,"The Sacramento Kings have declined to match the Atlanta Hawks’ four-year, $72 million offer sheet for restricted free agent guard Bogdan Bogdanovic, sources tell ESPN.",2193,24458
1331383863566872576,Tue Nov 24 23:47:03 +0000 2020,"Free agent G Wayne Ellington has agreed to a one-year, $2.6M deal with the Detroit Pistons, agent Mark Bartelstein of @PrioritySports tells ESPN.",458,5114
1331382093306355712,Tue Nov 24 23:40:01 +0000 2020,"Free agent guard Frank Jackson has agreed to a deal with the Oklahoma City Thunder, source tells ESPN.",562,8741
1331352209003515907,Tue Nov 24 21:41:16 +0000 2020,"Free agent F Ryan Broekhoff has agreed to a deal with the Philadelphia 76ers, agent Andy Shiffman of @PrioritySports tells ESPN.",516,7550
1331320678637854721,Tue Nov 24 19:35:59 +0000 2020,"New Orleans Pelicans All-Star F Brandon Ingram has agreed to a five-year, $158 million maximum contract extension, his agents Jeff Schwartz and Jordan Gertler of @excelsm_bball tell ESPN.",3626,32916
1331247256213852174,Tue Nov 24 14:44:13 +0000 2020,"Boston Celtics G-League coach Darren Erman is finalizing a deal to join Tom Thibodeau’s staff with the New York Knicks, sources tell ESPN. Erman coached the Maine Red Claws in 2019-2020 after four years as New Orleans’ associate head coach.",388,7026
1330924334416879623,Mon Nov 23 17:21:03 +0000 2020,"Free agent G Damyean Dotson has agreed to a two-year, $4M deal with the Cleveland Cavaliers, his agent Chris Gaston of @Famfirstsports tells ESPN.",530,6150
1330914192707248128,Mon Nov 23 16:40:45 +0000 2020,"Free agent F Solomon Hill has agreed to a one-year deal with the Atlanta Hawks, sources tell ESPN.",565,9341
1330895795269210121,Mon Nov 23 15:27:39 +0000 2020,"Dario Saric has agreed to a three-year, $27M deal to stay with Phoenix, agents Jeff Schwartz and Mike Lindeman of @excelsm_bball tell ESPN.",1052,14304
1330678162892709888,Mon Nov 23 01:02:51 +0000 2020,"Chris Boucher has agreed to a two-year, $13.5M deal to stay with the Toronto Raptors, his agent Sam Permut of @RocNationSports tells ESPN.",953,12004
1330674926026698753,Mon Nov 23 00:49:59 +0000 2020,"Cleveland is trading Jordan Bell and Alfonzo McKinnie to the Lakers in the Gasol deal, sources tell ESPN.",2128,20003
1330674052659294209,Mon Nov 23 00:46:31 +0000 2020,"Gasol will sign a two-year deal, sources tell @ZachLowe_NBA and me.",1450,15006
1330673107414216705,Mon Nov 23 00:42:46 +0000 2020,"Marc Gasol is finalizing a deal to sign with the Lakers, sources tell me and @ZachLowe_NBA.",7969,58598
1330672740819480581,Mon Nov 23 00:41:18 +0000 2020,"JaVale trade clears the way for the Lakers to have the available money to sign Marc Gasol, sources tell ESPN. Deal is still being worked out.",1465,13680
1330671803677765633,Mon Nov 23 00:37:35 +0000 2020,"The Lakers are trading JaVale McGee to Cleveland, source tells ESPN.",3370,39822
1330661781283483651,Sun Nov 22 23:57:45 +0000 2020,"Minnesota is trading Omari Spellman and Jacob Evans and a future second-round pick to New York for F Ed Davis, sources tell ESPN.",906,9400
1330651862148800512,Sun Nov 22 23:18:20 +0000 2020,"The Pacers are trading F TJ Leaf a future second-round pick to OKC for Lecque, source tells ESPN.",683,7845
1330648312899383298,Sun Nov 22 23:04:14 +0000 2020,"Free agent Austin Rivers has agreed to deal with Knicks, source tells ESPN.",1929,25203
1330628024149094402,Sun Nov 22 21:43:37 +0000 2020,"Jayson Tatum has agreed to a five-year, $195M extension with the Celtics, source tells ESPN.",8962,80149
1330621750661566466,Sun Nov 22 21:18:41 +0000 2020,"The 76ers are trading G Zhaire Smith to the Pistons for C Tony Bradley, sources tell ESPN.",1071,11408
1330578635422568452,Sun Nov 22 18:27:22 +0000 2020,"Restricted free agent F Jontay Porter has agreed to a three-year, $6M deal to stay with the Memphis Grizzlies, agents Mark Bartelstein and Andy Shiffman of @PrioritySports tell ESPN.",416,4829
1330577043055063045,Sun Nov 22 18:21:02 +0000 2020,"Free agent C Damian Jones has agreed to a two-year deal with the Phoenix Suns, sources tell ESPN.",489,6423
1330575426993987585,Sun Nov 22 18:14:37 +0000 2020,"Guard Quinndary Weatherspoon is returning to the San Antonio Spurs on a two-way contract, his agent Daniel Hazan tells ESPN.",347,3703
1330560740302999552,Sun Nov 22 17:16:15 +0000 2020,"Free agent Torrey Craig has reached agreement on a deal with the Milwaukee Bucks, his agents Dave Spahn and Austin Brown of @CAA_Basketball tell ESPN.",839,7870
1330559384070578178,Sun Nov 22 17:10:52 +0000 2020,"Utah Jazz All-Star guard Donovan Mitchell has agreed to a five-year, $195M designated rookie max extension, his agents Ty Sullivan and Austin Brown of @caa_sports tell ESPN. Story soon.",3283,33277
1330553635214929922,Sun Nov 22 16:48:01 +0000 2020,"Free agent Harry Giles has agreed to a one-year deal with the Portland Trail Blazers, source tells ESPN.",1053,12633
1330553478909997056,Sun Nov 22 16:47:24 +0000 2020,"Free agent guard Bryn Forbes has agreed to a two-year deal with the Miwaukee Bucks, his agent Mike Lindeman of @excelsm tells ESPN.",779,7229
1330368396404404227,Sun Nov 22 04:31:57 +0000 2020,"Free agent Serge Ibaka plans to sign a 2-year, $19M deal with the Clippers, source tells ESPN.",2841,34192
1330351540008325121,Sun Nov 22 03:24:58 +0000 2020,"Restricted free agent G Jevon Carter has agreed to a three-year, $11.5M deal to stay with the Suns, agent Mark Bartelstein of @PrioritySports tells ESPN.",1141,13198
1330325503132258305,Sun Nov 22 01:41:30 +0000 2020,"Free agent C Nerlens Noel has agreed to a one-year deal with the New York Knicks, sources tell ESPN.",1332,18483
1330314710584086530,Sun Nov 22 00:58:37 +0000 2020,"Free agent G Brad Wanamaker has agreed to a one-year, $2.25M deal to join the Golden State Warriors, his agent Steve McCaskill tells ESPN. Wanamaker played a productive role with Celtics – and now’s expected to see some significant minutes as Steph Curry’s backup.",1421,17109
1330281434033123330,Sat Nov 21 22:46:23 +0000 2020,"Denver has pulled the qualifying offer on forward Torrey Craig, which allows him to become an unrestricted free agent, source tells ESPN. The Nuggets have valued Craig, but ran out of roster spots for him.",619,9118
1330274911068315649,Sat Nov 21 22:20:28 +0000 2020,"Elfrid Payton has agreed to one-year, $5M deal with Knicks, agents Aaron Mintz and Ty Sullivan of @CAA_Basketball tell ESPN.",762,8506
1330262122094338053,Sat Nov 21 21:29:39 +0000 2020,"Free agent guard Rajon Rondo has agreed to a two-year, $15M contract with the Atlanta Hawks, sources tell ESPN.",3819,42799
1330250482300940289,Sat Nov 21 20:43:24 +0000 2020,"Breaking on @BonniesMBB: Free agent guard Jaylen Adams has agreed to a two-way deal with the Milwaukee Bucks, agent @MikeGTdot of @OneLegacySports tells ESPN.",465,5144
1330236035696091138,Sat Nov 21 19:46:00 +0000 2020,"Free agent Gary Clark has agreed to a two-year, $4.1M deal to stay with Orlando, source tells ESPN.",616,7383
1330231058537844739,Sat Nov 21 19:26:13 +0000 2020,"The Hornets will waive Nic Batum to create cap space to sign Gordon Hayward, reports @rick_bonnell.",1599,17848
1330217292395933698,Sat Nov 21 18:31:31 +0000 2020,"Hayward signed an offer sheet with Charlotte in 2014 as a restricted free agent. Utah matched and kept him. This time, Charlotte gets Hayward.",884,16425
1330216568450650113,Sat Nov 21 18:28:38 +0000 2020,"Free agent Gordon Hayward is signing a 4-year, $120M deal with Charlotte, per source.",8115,76151
1330198362042343427,Sat Nov 21 17:16:18 +0000 2020,"Free agent guard DJ Augustin has agreed to a three-year, $21M deal with Milwaukee, source tells ESPN.",1144,16093
1330183029353025540,Sat Nov 21 16:15:22 +0000 2020,"Free agent guard Kris Dunn has agreed to a two-year, $10M deal with the Atlanta Hawks, sources tell ESPN. Player option on the second year.",1590,18816
1330169612886044672,Sat Nov 21 15:22:03 +0000 2020,"Free agent F Moe Harkless has agreed to a one-year, $3.6M deal with the Miami Heat, sources tell ESPN.",1328,14711
1330163360403484681,Sat Nov 21 14:57:13 +0000 2020,"As part of four-team Steven Adams trade, Thunder also receive George Hill, Darius Miller, 2023 Denver protected first-round pick and second-round picks in 2023 (via Charlotte) and 2024 (via Washington), sources tell ESPN.",1258,12081
1330039310125584384,Sat Nov 21 06:44:17 +0000 2020,To be clear: Denver traded a 2023 protected first-round pick to New Orleans for the draft rights to RJ Hampton --- and THAT 2023 pick is headed thru to Oklahoma City in the Adams deal. RJ Hampton remains a Nugget.,626,11066
1330036549388554242,Sat Nov 21 06:33:18 +0000 2020,"Sources: The Steven Adams-to-Pelicans trade includes Denver, which traded a 2023 lottery protected first-round pick for the 24th pick (RJ Hampton) on draft night. That pick is headed to the Thunder -- along with two seconds -- for Adams.",893,8960
1330034629387096066,Sat Nov 21 06:25:41 +0000 2020,"The Thunder have agreed in principle to trade Steven Adams to the Pelicans as part of a multi-team trade, sources tell ESPN. OKC is getting back -- wait for it -- future first-round pick and second-round picks.",3439,43981
1330029078955560961,Sat Nov 21 06:03:37 +0000 2020,"OKC is trading James Johnson to the Dallas Mavericks, sources tell ESPN.",977,12588
1330028860042326023,Sat Nov 21 06:02:45 +0000 2020,"New Orleans and Milwaukee are expanding the original Jrue Holiday trade to include more teams and players, including the routing of Steven Adams to the Pelicans, sources tell ESPN. Talks are moving toward a possible four-team trade.",1606,14988
1330016636942868480,Sat Nov 21 05:14:11 +0000 2020,"Free agent G Pat Connaughton has agreed to a two-year, $8.3M deal to return to the Milwaukee Bucks, agents Jeff Schwartz and Jordan Gertler of @excelsm_bball tell ESPN.",748,8760
1329997776227348480,Sat Nov 21 03:59:14 +0000 2020,"Free agent Marcus Morris has agreed to return to the Clippers, source tells ESPN.",1029,13644
1329986312720551945,Sat Nov 21 03:13:41 +0000 2020,"Free agent F Christian Wood has agreed to a three-year, $41M deal with the Houston Rockets, sources tell ESPN.",2507,25682
1329984142835060736,Sat Nov 21 03:05:04 +0000 2020,"Free agent Garrett Temple has agreed to a one-year, $5M deal with Chicago, agent Mark Bartelstein of @PrioritySports tells ESPN.",866,8477
